"1412741880447"	"01 33 44 55 66 01 "	"-74"
"1412741880547"	"01 33 44 55 66 01 "	"-75"
"1412741880650"	"01 33 44 55 66 01 "	"-76"
"1412741880863"	"01 33 44 55 66 01 "	"-72"
"1412741880966"	"01 33 44 55 66 01 "	"-72"
"1412741881072"	"01 33 44 55 66 01 "	"-77"
"1412741881175"	"01 33 44 55 66 01 "	"-76"
"1412741881277"	"01 33 44 55 66 01 "	"-77"
"1412741881385"	"01 33 44 55 66 01 "	"-77"
"1412741881489"	"01 33 44 55 66 01 "	"-77"
"1412741881594"	"01 33 44 55 66 01 "	"-76"
"1412741881699"	"01 33 44 55 66 01 "	"-74"
"1412741881806"	"01 33 44 55 66 01 "	"-77"
"1412741881907"	"01 33 44 55 66 01 "	"-70"
"1412741882115"	"01 33 44 55 66 01 "	"-96"
"1412741882222"	"01 33 44 55 66 01 "	"-78"
"1412741882328"	"01 33 44 55 66 01 "	"-92"
"1412741882430"	"01 33 44 55 66 01 "	"-80"
"1412741882532"	"01 33 44 55 66 01 "	"-80"
"1412741882634"	"01 33 44 55 66 01 "	"-80"
"1412741882742"	"01 33 44 55 66 01 "	"-74"
"1412741882845"	"01 33 44 55 66 01 "	"-79"
"1412741882947"	"01 33 44 55 66 01 "	"-74"
"1412741883051"	"01 33 44 55 66 01 "	"-84"
"1412741883158"	"01 33 44 55 66 01 "	"-93"
"1412741883378"	"01 33 44 55 66 01 "	"-75"
"1412741883488"	"01 33 44 55 66 01 "	"-74"
"1412741883579"	"01 33 44 55 66 01 "	"-79"
"1412741883681"	"01 33 44 55 66 01 "	"-75"
"1412741883788"	"01 33 44 55 66 01 "	"-77"
"1412741883892"	"01 33 44 55 66 01 "	"-76"
"1412741884112"	"01 33 44 55 66 01 "	"-76"
"1412741884216"	"01 33 44 55 66 01 "	"-85"
"1412741884325"	"01 33 44 55 66 01 "	"-70"
"1412741884433"	"01 33 44 55 66 01 "	"-69"
"1412741884530"	"01 33 44 55 66 01 "	"-76"
"1412741884631"	"01 33 44 55 66 01 "	"-78"
"1412741884732"	"01 33 44 55 66 01 "	"-86"
"1412741884837"	"01 33 44 55 66 01 "	"-83"
"1412741884944"	"01 33 44 55 66 01 "	"-75"
"1412741885053"	"01 33 44 55 66 01 "	"-70"
"1412741885159"	"01 33 44 55 66 01 "	"-70"
"1412741885263"	"01 33 44 55 66 01 "	"-85"
"1412741885365"	"01 33 44 55 66 01 "	"-76"
"1412741885478"	"01 33 44 55 66 01 "	"-76"
"1412741885568"	"01 33 44 55 66 01 "	"-76"
"1412741885673"	"01 33 44 55 66 01 "	"-73"
"1412741885785"	"01 33 44 55 66 01 "	"-74"
"1412741885892"	"01 33 44 55 66 01 "	"-77"
"1412741885993"	"01 33 44 55 66 01 "	"-96"
"1412741886100"	"01 33 44 55 66 01 "	"-75"
"1412741886208"	"01 33 44 55 66 01 "	"-81"
"1412741886316"	"01 33 44 55 66 01 "	"-76"
"1412741886426"	"01 33 44 55 66 01 "	"-70"
"1412741886520"	"01 33 44 55 66 01 "	"-66"
"1412741886628"	"01 33 44 55 66 01 "	"-74"
"1412741886743"	"01 33 44 55 66 01 "	"-74"
"1412741886850"	"01 33 44 55 66 01 "	"-72"
"1412741886949"	"01 33 44 55 66 01 "	"-78"
"1412741887057"	"01 33 44 55 66 01 "	"-66"
"1412741887170"	"01 33 44 55 66 01 "	"-72"
"1412741887272"	"01 33 44 55 66 01 "	"-77"
"1412741887380"	"01 33 44 55 66 01 "	"-72"
"1412741887500"	"01 33 44 55 66 01 "	"-74"
"1412741887589"	"01 33 44 55 66 01 "	"-66"
"1412741887691"	"01 33 44 55 66 01 "	"-68"
"1412741887909"	"01 33 44 55 66 01 "	"-68"
"1412741888017"	"01 33 44 55 66 01 "	"-69"
"1412741888118"	"01 33 44 55 66 01 "	"-68"
"1412741888223"	"01 33 44 55 66 01 "	"-67"
"1412741888324"	"01 33 44 55 66 01 "	"-69"
"1412741888428"	"01 33 44 55 66 01 "	"-70"
