"1412742001389"	"01 33 44 55 66 01 "	"-73"
"1412742001487"	"01 33 44 55 66 01 "	"-74"
"1412742001589"	"01 33 44 55 66 01 "	"-74"
"1412742001795"	"01 33 44 55 66 01 "	"-72"
"1412742001900"	"01 33 44 55 66 01 "	"-72"
"1412742002006"	"01 33 44 55 66 01 "	"-72"
"1412742002110"	"01 33 44 55 66 01 "	"-69"
"1412742002217"	"01 33 44 55 66 01 "	"-71"
"1412742002325"	"01 33 44 55 66 01 "	"-70"
"1412742002428"	"01 33 44 55 66 01 "	"-75"
"1412742002530"	"01 33 44 55 66 01 "	"-91"
"1412742002637"	"01 33 44 55 66 01 "	"-73"
"1412742002738"	"01 33 44 55 66 01 "	"-74"
"1412742002841"	"01 33 44 55 66 01 "	"-70"
"1412742002944"	"01 33 44 55 66 01 "	"-67"
"1412742003051"	"01 33 44 55 66 01 "	"-74"
"1412742003255"	"01 33 44 55 66 01 "	"-73"
"1412742003365"	"01 33 44 55 66 01 "	"-76"
"1412742003467"	"01 33 44 55 66 01 "	"-75"
"1412742003681"	"01 33 44 55 66 01 "	"-73"
"1412742003787"	"01 33 44 55 66 01 "	"-90"
"1412742003892"	"01 33 44 55 66 01 "	"-101"
"1412742003994"	"01 33 44 55 66 01 "	"-86"
"1412742004100"	"01 33 44 55 66 01 "	"-78"
"1412742004207"	"01 33 44 55 66 01 "	"-81"
"1412742004350"	"01 33 44 55 66 01 "	"-75"
"1412742004422"	"01 33 44 55 66 01 "	"-78"
"1412742004632"	"01 33 44 55 66 01 "	"-76"
"1412742004747"	"01 33 44 55 66 01 "	"-95"
"1412742004854"	"01 33 44 55 66 01 "	"-82"
"1412742004956"	"01 33 44 55 66 01 "	"-80"
"1412742005060"	"01 33 44 55 66 01 "	"-74"
"1412742005169"	"01 33 44 55 66 01 "	"-83"
"1412742005308"	"01 33 44 55 66 01 "	"-83"
"1412742005369"	"01 33 44 55 66 01 "	"-75"
"1412742005472"	"01 33 44 55 66 01 "	"-74"
"1412742005580"	"01 33 44 55 66 01 "	"-72"
"1412742005693"	"01 33 44 55 66 01 "	"-75"
"1412742005798"	"01 33 44 55 66 01 "	"-75"
"1412742005904"	"01 33 44 55 66 01 "	"-74"
"1412742006011"	"01 33 44 55 66 01 "	"-77"
"1412742006118"	"01 33 44 55 66 01 "	"-76"
"1412742006424"	"01 33 44 55 66 01 "	"-96"
"1412742006526"	"01 33 44 55 66 01 "	"-72"
"1412742006639"	"01 33 44 55 66 01 "	"-79"
"1412742006752"	"01 33 44 55 66 01 "	"-85"
"1412742006858"	"01 33 44 55 66 01 "	"-86"
"1412742006965"	"01 33 44 55 66 01 "	"-77"
"1412742007073"	"01 33 44 55 66 01 "	"-79"
"1412742007180"	"01 33 44 55 66 01 "	"-83"
"1412742007285"	"01 33 44 55 66 01 "	"-82"
"1412742007390"	"01 33 44 55 66 01 "	"-78"
"1412742007493"	"01 33 44 55 66 01 "	"-83"
"1412742007602"	"01 33 44 55 66 01 "	"-92"
"1412742007700"	"01 33 44 55 66 01 "	"-81"
"1412742007803"	"01 33 44 55 66 01 "	"-80"
"1412742007911"	"01 33 44 55 66 01 "	"-85"
"1412742008020"	"01 33 44 55 66 01 "	"-85"
"1412742008125"	"01 33 44 55 66 01 "	"-85"
"1412742008228"	"01 33 44 55 66 01 "	"-78"
"1412742008335"	"01 33 44 55 66 01 "	"-81"
"1412742008441"	"01 33 44 55 66 01 "	"-86"
"1412742008544"	"01 33 44 55 66 01 "	"-92"
"1412742008652"	"01 33 44 55 66 01 "	"-87"
"1412742008754"	"01 33 44 55 66 01 "	"-78"
"1412742008855"	"01 33 44 55 66 01 "	"-82"
"1412742008958"	"01 33 44 55 66 01 "	"-92"
"1412742009061"	"01 33 44 55 66 01 "	"-95"
"1412742009160"	"01 33 44 55 66 01 "	"-91"
"1412742009262"	"01 33 44 55 66 01 "	"-96"
"1412742009366"	"01 33 44 55 66 01 "	"-87"
"1412742009471"	"01 33 44 55 66 01 "	"-83"
"1412742009579"	"01 33 44 55 66 01 "	"-79"
"1412742009682"	"01 33 44 55 66 01 "	"-78"
"1412742009784"	"01 33 44 55 66 01 "	"-77"
"1412742009888"	"01 33 44 55 66 01 "	"-78"
"1412742010096"	"01 33 44 55 66 01 "	"-79"
"1412742010202"	"01 33 44 55 66 01 "	"-80"
"1412742010300"	"01 33 44 55 66 01 "	"-95"
"1412742010518"	"01 33 44 55 66 01 "	"-81"
"1412742010835"	"01 33 44 55 66 01 "	"-84"
"1412742011045"	"01 33 44 55 66 01 "	"-92"
"1412742011149"	"01 33 44 55 66 01 "	"-90"
"1412742011359"	"01 33 44 55 66 01 "	"-84"
"1412742011468"	"01 33 44 55 66 01 "	"-83"
"1412742011568"	"01 33 44 55 66 01 "	"-84"
"1412742011674"	"01 33 44 55 66 01 "	"-87"
"1412742011776"	"01 33 44 55 66 01 "	"-86"
"1412742011881"	"01 33 44 55 66 01 "	"-85"
"1412742011989"	"01 33 44 55 66 01 "	"-80"
"1412742012091"	"01 33 44 55 66 01 "	"-80"
"1412742012196"	"01 33 44 55 66 01 "	"-79"
"1412742012302"	"01 33 44 55 66 01 "	"-83"
"1412742012406"	"01 33 44 55 66 01 "	"-82"
"1412742012523"	"01 33 44 55 66 01 "	"-82"
"1412742012618"	"01 33 44 55 66 01 "	"-77"
"1412742012725"	"01 33 44 55 66 01 "	"-77"
"1412742012826"	"01 33 44 55 66 01 "	"-77"
"1412742012934"	"01 33 44 55 66 01 "	"-82"
"1412742013037"	"01 33 44 55 66 01 "	"-84"
"1412742013142"	"01 33 44 55 66 01 "	"-84"
"1412742013246"	"01 33 44 55 66 01 "	"-83"
"1412742013354"	"01 33 44 55 66 01 "	"-83"
"1412742013455"	"01 33 44 55 66 01 "	"-82"
"1412742013558"	"01 33 44 55 66 01 "	"-82"
"1412742013666"	"01 33 44 55 66 01 "	"-82"
"1412742013769"	"01 33 44 55 66 01 "	"-81"
